Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,1,Import,854,Burkina Faso,BFA,466,Mali,MLI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,30000,,,,30000,,1772,,,0
H4,2016,2016,2016,4,0,1,Import,854,Burkina Faso,BFA,562,Niger,NER,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4000,,,,4000,,1013,,,0
H4,2016,2016,2016,4,0,1,Import,854,Burkina Faso,BFA,686,Senegal,SEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,90000,,,,90000,,4895,,,0
H4,2016,2016,2016,4,0,1,Import,854,Burkina Faso,BFA,768,Togo,TGO,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,57640,,,,57640,,1502,,,0
H5,2019,2019,2019,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,992,,,,992,,4,,,0
H5,2019,2019,2019,4,0,1,Import,108,Burundi,BDI,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,992,,,,992,,4,,,0
H4,2016,2016,2016,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,21197,,,,21197,,5169,,,0
H4,2016,2016,2016,4,0,1,Import,108,Burundi,BDI,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,19200,,,,19200,,4152,,,0
H4,2016,2016,2016,4,0,1,Import,108,Burundi,BDI,180,Dem. Rep. of the Congo,COD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1397,,,,1397,,169,,,0
H4,2016,2016,2016,4,0,1,Import,108,Burundi,BDI,784,United Arab Emirates,ARE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,20,,,,20,,260,,,0
H4,2016,2016,2016,4,0,1,Import,108,Burundi,BDI,800,Uganda,UGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,580,,,,580,,588,,,0
H4,2017,2017,2017,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",1,No Quantity,0,,,,32640,,12895,,,0
H4,2017,2017,2017,4,0,1,Import,108,Burundi,BDI,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",1,No Quantity,0,,,,30375,,12226,,,0
H4,2017,2017,2017,4,0,1,Import,108,Burundi,BDI,180,Dem. Rep. of the Congo,COD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1900,,,,1900,,254,,,0
H4,2017,2017,2017,4,0,1,Import,108,Burundi,BDI,404,Kenya,KEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,50,,,,50,,46,,,0
H4,2017,2017,2017,4,0,1,Import,108,Burundi,BDI,800,Uganda,UGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,86,,,,315,,367,,,0
H4,2018,2018,2018,4,0,1,Import,108,Burundi,BDI,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,808,,,,1346,,108,,,0
H4,2018,2018,2018,4,0,1,Import,108,Burundi,BDI,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,20,,,,20,,25,,,0
H4,2018,2018,2018,4,0,1,Import,108,Burundi,BDI,784,United Arab Emirates,ARE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,776,,,,776,,34,,,0
H4,2018,2018,2018,4,0,1,Import,108,Burundi,BDI,800,Uganda,UGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,12,,,,550,,47,,,0
H5,2019,2019,2019,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1024,,,,1024,,2992,,,0
H5,2019,2019,2019,4,0,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,996,,,,996,,2703,,,0
H5,2019,2019,2019,4,0,1,Import,132,Cabo Verde,CPV,686,Senegal,SEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,28,,,,28,,288,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,476,,,,476,,1409,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,15,,,,15,,33,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,311,,,,311,,865,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,50,,,,50,,349,,,0
H4,2016,2016,2016,4,0,1,Import,132,Cabo Verde,CPV,899,"Areas, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,100,,,,100,,162,,,0
H4,2017,2017,2017,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,778,,,,778,,2326,,,0
H4,2017,2017,2017,4,0,1,Import,132,Cabo Verde,CPV,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,125,,,,125,,76,,,0
H4,2017,2017,2017,4,0,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,506,,,,506,,1356,,,0
H4,2017,2017,2017,4,0,1,Import,132,Cabo Verde,CPV,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,145,,,,145,,770,,,0
H4,2017,2017,2017,4,0,1,Import,132,Cabo Verde,CPV,899,"Areas, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2,,,,2,,123,,,0
H4,2018,2018,2018,4,0,1,Import,132,Cabo Verde,CPV,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1165,,,,1165,,2649,,,0
H4,2018,2018,2018,4,0,1,Import,132,Cabo Verde,CPV,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,122,,,,122,,247,,,0
H4,2018,2018,2018,4,0,1,Import,132,Cabo Verde,CPV,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,10,,,,10,,148,,,0
H4,2018,2018,2018,4,0,1,Import,132,Cabo Verde,CPV,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,551,,,,551,,1593,,,0
H4,2018,2018,2018,4,0,1,Import,132,Cabo Verde,CPV,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,15,,,,15,,4,,,0
H4,2018,2018,2018,4,0,1,Import,132,Cabo Verde,CPV,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,467,,,,467,,656,,,0
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,639460,,,,639460,,328749,,,6
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,38165,,,,38165,,21099,,,6
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,48347,,,,48347,,24736,,,6
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,508,Mozambique,MOZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,492892,,,,492892,,252186,,,6
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,566,Nigeria,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,29280,,,,29280,,14981,,,6
H5,2017,2017,2017,4,0,1,Import,116,Cambodia,KHM,704,Viet Nam,VNM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,30774,,,,30774,,15745,,,6
H5,2018,2018,2018,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,584785,,,,584785,,256677,,,6
H5,2018,2018,2018,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,517594,,,,517594,,215585,,,6
H5,2018,2018,2018,4,0,1,Import,116,Cambodia,KHM,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,11,,,,11,,7,,,6
H5,2018,2018,2018,4,0,1,Import,116,Cambodia,KHM,508,Mozambique,MOZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,66810,,,,66810,,40859,,,6
H5,2018,2018,2018,4,0,1,Import,116,Cambodia,KHM,764,Thailand,THA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,368,,,,368,,225,,,6
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,71521,,,,71521,,30105,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3981,,,,3981,,10151,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1992,,,,1992,,4382,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,392,Japan,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,15841,,,,15841,,2685,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,119,,,,119,,1260,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,490,"Other Asia, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3,,,,3,,84,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,508,Mozambique,MOZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,45100,,,,45100,,11297,,,0
H5,2019,2019,2019,4,0,1,Import,116,Cambodia,KHM,764,Thailand,THA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4485,,,,4485,,244,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,646795,,,,646795,,193910,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,8316,,,,8316,,15764,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,14169,,,,14169,,16902,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,490,"Other Asia, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,110,,,,110,,5106,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,508,Mozambique,MOZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,564200,,,,564200,,141136,,,0
H4,2016,2016,2016,4,0,1,Import,116,Cambodia,KHM,566,Nigeria,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,60000,,,,60000,,15003,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,52608,,,,52608,,12512,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,20,,,,20,,323,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1000,,,,1000,,2191,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,6272,,,,6272,,6266,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,43200,,,,43200,,3154,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,699,India,IND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,116,,,,116,,494,,,0
H4,2016,2016,2016,4,0,1,Import,120,Cameroon,CMR,784,United Arab Emirates,ARE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2000,,,,2000,,84,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,274995,,,,274995,,28994,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,124,Canada,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4120,,,,4120,,3447,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,140,Central African Rep.,CAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,68160,,,,68160,,13788,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,148,Chad,TCD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,89000,,,,89000,,9336,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1715,,,,1715,,891,,,0
H4,2017,2017,2017,4,0,1,Import,120,Cameroon,CMR,266,Gabon,GAB,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,112000,,,,112000,,1530,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,113346,,,,113346,,60252,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,148,Chad,TCD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,25000,,,,25000,,2701,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,946,,,,946,,2808,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,204,Benin,BEN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,24050,,,,24050,,4503,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,251,France,FRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,9000,,,,9000,,6073,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,258,French Polynesia,PYF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4000,,,,4000,,810,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,566,Nigeria,NGA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,500,,,,500,,634,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,25500,,,,25500,,21441,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,23650,,,,23650,,19893,,,0
H4,2018,2018,2018,4,0,1,Import,120,Cameroon,CMR,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,700,,,,700,,1385,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,140668067,,,,140668067,,70034443,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,36,Australia,AUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,28029,,,,28029,,9653,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,40,Austria,AUT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,37270,,,,37270,,8437,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,715002,,,,715002,,636092,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,76,Brazil,BRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7,,,,7,,33,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,124,Canada,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,234371,,,,234371,,121820,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,327931,,,,327931,,202494,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,188,Costa Rica,CRI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,64479,,,,64479,,149685,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,208,Denmark,DNK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,93347,,,,93347,,94311,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,218,Ecuador,ECU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,120098,,,,120098,,116954,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,233,Estonia,EST,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,124,,,,124,,52,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,251,France,FRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,662198,,,,662198,,1389926,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,276,Germany,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,606309,,,,606309,,935106,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,332,Haiti,HTI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,59650,,,,59650,,15044,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,268,,,,268,,1963,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,376,Israel,ISR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,9247,,,,9247,,19776,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,381,Italy,ITA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,310435,,,,310435,,143598,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,392,Japan,JPN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,66,,,,66,,26,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3338,,,,3338,,33326,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,484,Mexico,MEX,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,31471,,,,31471,,21866,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,490,"Other Asia, nes",,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,78399,,,,78399,,158987,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,512,Oman,OMN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,38056,,,,38056,,24976,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,139615,,,,139615,,67224,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,604,Peru,PER,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,20000,,,,20000,,19699,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,616,Poland,POL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,19028,,,,19028,,10141,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,112569,,,,112569,,61829,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,666,Saint Pierre and Miquelon,SPM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7967,,,,7967,,1585,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,699,India,IND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,40005,,,,40005,,94020,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1387,,,,1387,,1188,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,724,Spain,ESP,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,84300,,,,84300,,225769,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,68940,,,,68940,,236790,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,764,Thailand,THA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,79,,,,79,,58,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,780,Trinidad and Tobago,TTO,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,14858,,,,14858,,3980,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,60684,,,,60684,,150709,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,792,Turkey,TUR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,36417,,,,36417,,45496,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,113774,,,,113774,,320768,,,0
H5,2017,2017,2017,4,0,1,Import,124,Canada,CAN,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,136528349,,,,136528349,,64711044,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,141017130,,,,141017130,,73570501,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,36,Australia,AUS,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,21683,,,,21683,,11590,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,50,Bangladesh,BGD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7000,,,,7000,,2351,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,2237183,,,,2237183,,2053099,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,84,Belize,BLZ,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,33,,,,33,,64,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,171808,,,,171808,,276232,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,188,Costa Rica,CRI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,118095,,,,118095,,191935,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,208,Denmark,DNK,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,65922,,,,65922,,59469,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,222,El Salvador,SLV,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,19976,,,,19976,,10063,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,233,Estonia,EST,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,21677,,,,21677,,5907,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,251,France,FRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,596834,,,,596834,,1470639,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,276,Germany,DEU,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,331833,,,,331833,,594473,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,332,Haiti,HTI,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,124685,,,,124685,,27455,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,340,Honduras,HND,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17559,,,,17559,,21990,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1601,,,,1601,,7557,,,0
H5,2018,2018,2018,4,0,1,Import,124,Canada,CAN,376,Israel,ISR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,32755,,,,32755,,30087,,,0
